"","publicationDate","country","total_awards","albumCount","lat","lon","continent"
"139","1961","Belgium",0,1,"50.8333333333333","4.333333","Europe"
"140","1961","Brazil",0,7,"-15.7833333333333","-47.916667","South America"
"141","1961","Canada",0,1,"45.4166666666667","-75.7","Central America"
"142","1961","France",0,22,"48.8666666666667","2.333333","Europe"
"143","1961","Germany",0,5,"52.5166666666667","13.4","Europe"
"144","1961","Israel",0,1,"31.7666666666667","35.233333","Asia"
"145","1961","Italy",0,2,"41.9","12.483333","Europe"
"146","1961","Mexico",0,1,"19.4333333333333","-99.133333","Central America"
"147","1961","Monaco",0,2,"43.7333333333333","7.416667","Europe"
"148","1961","United Kingdom",0,10,"51.5","-0.083333","Europe"
"149","1961","United States",5,194,"38.883333","-77","Central America"
"150","1961","Unknown",0,14,"Unknown","Unknown","Unknown"
"151","1961","Uruguay",0,1,"-34.85","-56.166667","South America"
"152","1962","Austria",0,2,"48.2","16.366667","Europe"
"153","1962","Belgium",0,2,"50.8333333333333","4.333333","Europe"
"154","1962","Brazil",0,7,"-15.7833333333333","-47.916667","South America"
"155","1962","Canada",0,3,"45.4166666666667","-75.7","Central America"
"156","1962","France",0,19,"48.8666666666667","2.333333","Europe"
"157","1962","Germany",0,8,"52.5166666666667","13.4","Europe"
"158","1962","Greece",0,2,"37.9833333333333","23.733333","Europe"
"159","1962","Israel",0,1,"31.7666666666667","35.233333","Asia"
"160","1962","Italy",0,4,"41.9","12.483333","Europe"
"161","1962","Mexico",0,1,"19.4333333333333","-99.133333","Central America"
"162","1962","Monaco",0,1,"43.7333333333333","7.416667","Europe"
"163","1962","Portugal",0,1,"38.7166666666667","-9.133333","Europe"
"164","1962","Trinidad and Tobago",0,1,"10.65","-61.516667","North America"
"165","1962","United Kingdom",0,16,"51.5","-0.083333","Europe"
"166","1962","United States",8,234,"38.883333","-77","Central America"
"167","1962","Unknown",0,12,"Unknown","Unknown","Unknown"
"168","1962","Uruguay",0,2,"-34.85","-56.166667","South America"
"169","1963","Australia",0,2,"-35.2666666666667","149.133333","Australia"
"170","1963","Austria",0,2,"48.2","16.366667","Europe"
"171","1963","Brazil",0,19,"-15.7833333333333","-47.916667","South America"
"172","1963","Canada",0,2,"45.4166666666667","-75.7","Central America"
"173","1963","Chile",0,1,"-33.45","-70.666667","South America"
"174","1963","France",0,26,"48.8666666666667","2.333333","Europe"
"175","1963","Germany",1,12,"52.5166666666667","13.4","Europe"
"176","1963","Israel",0,1,"31.7666666666667","35.233333","Asia"
"177","1963","Italy",0,12,"41.9","12.483333","Europe"
"178","1963","Netherlands",0,2,"52.35","4.916667","Europe"
"179","1963","Spain",0,1,"40.4","-3.683333","Europe"
"180","1963","Switzerland",0,2,"46.9166666666667","7.466667","Europe"
"181","1963","United Kingdom",0,17,"51.5","-0.083333","Europe"
"182","1963","United States",7,241,"38.883333","-77","Central America"
"183","1963","Unknown",0,21,"Unknown","Unknown","Unknown"
"184","1963","Uruguay",0,1,"-34.85","-56.166667","South America"
"185","1964","Australia",0,1,"-35.2666666666667","149.133333","Australia"
"186","1964","Austria",0,1,"48.2","16.366667","Europe"
"187","1964","Belgium",0,2,"50.8333333333333","4.333333","Europe"
"188","1964","Brazil",0,18,"-15.7833333333333","-47.916667","South America"
"189","1964","Canada",0,8,"45.4166666666667","-75.7","Central America"
"190","1964","France",0,29,"48.8666666666667","2.333333","Europe"
"191","1964","Germany",0,11,"52.5166666666667","13.4","Europe"
"192","1964","Ireland",0,1,"53.3166666666667","-6.233333","Europe"
"193","1964","Italy",0,7,"41.9","12.483333","Europe"
"194","1964","Jamaica",0,2,"18","-76.8","North America"
"195","1964","Mexico",0,2,"19.4333333333333","-99.133333","Central America"
"196","1964","Portugal",0,1,"38.7166666666667","-9.133333","Europe"
"197","1964","Sweden",0,2,"59.3333333333333","18.05","Europe"
"198","1964","United Kingdom",4,43,"51.5","-0.083333","Europe"
"199","1964","United States",8,261,"38.883333","-77","Central America"
"200","1964","Unknown",1,28,"Unknown","Unknown","Unknown"
"201","1964","Uruguay",0,2,"-34.85","-56.166667","South America"
"202","1965","Argentina",0,1,"-34.5833333333333","-58.666667","South America"
"203","1965","Australia",0,3,"-35.2666666666667","149.133333","Australia"
"204","1965","Austria",0,2,"48.2","16.366667","Europe"
"205","1965","Belgium",0,1,"50.8333333333333","4.333333","Europe"
"206","1965","Brazil",0,21,"-15.7833333333333","-47.916667","South America"
"207","1965","Canada",0,5,"45.4166666666667","-75.7","Central America"
"208","1965","Chile",0,1,"-33.45","-70.666667","South America"
"209","1965","Finland",0,1,"60.1666666666667","24.933333","Europe"
"210","1965","France",0,39,"48.8666666666667","2.333333","Europe"
"211","1965","Germany",0,14,"52.5166666666667","13.4","Europe"
"212","1965","Greece",0,1,"37.9833333333333","23.733333","Europe"
"213","1965","Hungary",0,1,"47.5","19.083333","Europe"
"214","1965","Ireland",0,2,"53.3166666666667","-6.233333","Europe"
"215","1965","Israel",0,1,"31.7666666666667","35.233333","Asia"
"216","1965","Italy",0,9,"41.9","12.483333","Europe"
"217","1965","Jamaica",0,3,"18","-76.8","North America"
"218","1965","Mexico",0,2,"19.4333333333333","-99.133333","Central America"
"219","1965","Monaco",0,1,"43.7333333333333","7.416667","Europe"
"220","1965","Netherlands",0,1,"52.35","4.916667","Europe"
"221","1965","Portugal",0,1,"38.7166666666667","-9.133333","Europe"
"222","1965","South Africa",0,1,"-25.7","28.216667","Africa"
"223","1965","Spain",0,2,"40.4","-3.683333","Europe"
"224","1965","Sweden",0,1,"59.3333333333333","18.05","Europe"
"225","1965","United Kingdom",7,77,"51.5","-0.083333","Europe"
"226","1965","United States",14,310,"38.883333","-77","Central America"
"227","1965","Unknown",2,29,"Unknown","Unknown","Unknown"
"228","1966","Argentina",0,3,"-34.5833333333333","-58.666667","South America"
"229","1966","Australia",0,3,"-35.2666666666667","149.133333","Australia"
"230","1966","Austria",0,2,"48.2","16.366667","Europe"
"231","1966","Belgium",0,4,"50.8333333333333","4.333333","Europe"
"232","1966","Brazil",0,24,"-15.7833333333333","-47.916667","South America"
"233","1966","Canada",0,9,"45.4166666666667","-75.7","Central America"
"234","1966","Chile",0,2,"-33.45","-70.666667","South America"
"235","1966","Czech Republic",0,1,"50.0833333333333","14.466667","Europe"
"236","1966","Finland",0,3,"60.1666666666667","24.933333","Europe"
"237","1966","France",0,38,"48.8666666666667","2.333333","Europe"
"238","1966","Germany",0,17,"52.5166666666667","13.4","Europe"
"239","1966","Greece",0,2,"37.9833333333333","23.733333","Europe"
"240","1966","Ireland",0,1,"53.3166666666667","-6.233333","Europe"
"241","1966","Italy",0,14,"41.9","12.483333","Europe"
"242","1966","Japan",0,1,"35.6833333333333","139.75","Asia"
"243","1966","Monaco",0,1,"43.7333333333333","7.416667","Europe"
"244","1966","Netherlands",0,2,"52.35","4.916667","Europe"
"245","1966","Poland",0,1,"52.25","21","Europe"
"246","1966","Spain",0,3,"40.4","-3.683333","Europe"
"247","1966","Sweden",0,1,"59.3333333333333","18.05","Europe"
"248","1966","Switzerland",0,1,"46.9166666666667","7.466667","Europe"
"249","1966","United Kingdom",6,62,"51.5","-0.083333","Europe"
"250","1966","United States",15,356,"38.883333","-77","Central America"
"251","1966","Unknown",1,39,"Unknown","Unknown","Unknown"
"252","1967","Argentina",0,3,"-34.5833333333333","-58.666667","South America"
"253","1967","Australia",0,2,"-35.2666666666667","149.133333","Australia"
"254","1967","Austria",1,5,"48.2","16.366667","Europe"
"255","1967","Belgium",0,3,"50.8333333333333","4.333333","Europe"
"256","1967","Brazil",1,27,"-15.7833333333333","-47.916667","South America"
"257","1967","Canada",0,9,"45.4166666666667","-75.7","Central America"
"258","1967","Chile",0,2,"-33.45","-70.666667","South America"
"259","1967","Finland",0,1,"60.1666666666667","24.933333","Europe"
"260","1967","France",1,37,"48.8666666666667","2.333333","Europe"
"261","1967","Germany",0,14,"52.5166666666667","13.4","Europe"
"262","1967","Greece",0,2,"37.9833333333333","23.733333","Europe"
"263","1967","Indonesia",0,2,"-6.16666666666667","106.816667","Asia"
"264","1967","Ireland",0,5,"53.3166666666667","-6.233333","Europe"
"265","1967","Israel",0,1,"31.7666666666667","35.233333","Asia"
"266","1967","Italy",0,12,"41.9","12.483333","Europe"
"267","1967","Jamaica",0,1,"18","-76.8","North America"
"268","1967","Japan",0,2,"35.6833333333333","139.75","Asia"
"269","1967","Mexico",0,2,"19.4333333333333","-99.133333","Central America"
"270","1967","Monaco",0,1,"43.7333333333333","7.416667","Europe"
"271","1967","Netherlands",0,6,"52.35","4.916667","Europe"
"272","1967","Poland",0,3,"52.25","21","Europe"
"273","1967","Spain",0,4,"40.4","-3.683333","Europe"
"274","1967","Sweden",0,1,"59.3333333333333","18.05","Europe"
"275","1967","Switzerland",0,3,"46.9166666666667","7.466667","Europe"
"276","1967","United Kingdom",3,97,"51.5","-0.083333","Europe"
"277","1967","United States",11,393,"38.883333","-77","Central America"
"278","1967","Unknown",0,37,"Unknown","Unknown","Unknown"
"279","1968","Argentina",0,7,"-34.5833333333333","-58.666667","South America"
"280","1968","Australia",0,6,"-35.2666666666667","149.133333","Australia"
"281","1968","Austria",0,3,"48.2","16.366667","Europe"
"282","1968","Belgium",0,4,"50.8333333333333","4.333333","Europe"
"283","1968","Brazil",0,30,"-15.7833333333333","-47.916667","South America"
"284","1968","Canada",0,14,"45.4166666666667","-75.7","Central America"
"285","1968","Chile",0,1,"-33.45","-70.666667","South America"
"286","1968","Croatia",0,1,"45.8","16","Europe"
"287","1968","Czech Republic",0,1,"50.0833333333333","14.466667","Europe"
"288","1968","Denmark",0,2,"55.6666666666667","12.583333","Europe"
"289","1968","Finland",0,2,"60.1666666666667","24.933333","Europe"
"290","1968","France",0,43,"48.8666666666667","2.333333","Europe"
"291","1968","Germany",0,23,"52.5166666666667","13.4","Europe"
"292","1968","Greece",0,2,"37.9833333333333","23.733333","Europe"
"293","1968","Hungary",0,1,"47.5","19.083333","Europe"
"294","1968","Ireland",0,5,"53.3166666666667","-6.233333","Europe"
"295","1968","Italy",0,19,"41.9","12.483333","Europe"
"296","1968","Jamaica",0,1,"18","-76.8","North America"
"297","1968","Japan",0,1,"35.6833333333333","139.75","Asia"
"298","1968","Monaco",0,2,"43.7333333333333","7.416667","Europe"
"299","1968","Netherlands",0,9,"52.35","4.916667","Europe"
"300","1968","Poland",0,2,"52.25","21","Europe"
"301","1968","Portugal",0,2,"38.7166666666667","-9.133333","Europe"
"302","1968","Romania",0,1,"44.4333333333333","26.1","Europe"
"303","1968","Serbia",0,1,"44.8333333333333","20.5","Europe"
"304","1968","South Africa",0,2,"-25.7","28.216667","Africa"
"305","1968","Spain",0,10,"40.4","-3.683333","Europe"
"306","1968","Sweden",0,1,"59.3333333333333","18.05","Europe"
"307","1968","Turkey",0,1,"39.9333333333333","32.866667","Europe"
"308","1968","United Kingdom",3,100,"51.5","-0.083333","Europe"
"309","1968","United States",16,424,"38.883333","-77","Central America"
"310","1968","Unknown",0,63,"Unknown","Unknown","Unknown"
"311","1968","Uruguay",0,1,"-34.85","-56.166667","South America"
"312","1968","Venezuela",0,1,"10.4833333333333","-66.866667","South America"
"313","1969","Argentina",0,6,"-34.5833333333333","-58.666667","South America"
"314","1969","Australia",0,4,"-35.2666666666667","149.133333","Australia"
"315","1969","Austria",0,1,"48.2","16.366667","Europe"
"316","1969","Belgium",0,2,"50.8333333333333","4.333333","Europe"
"317","1969","Brazil",0,25,"-15.7833333333333","-47.916667","South America"
"318","1969","Canada",0,18,"45.4166666666667","-75.7","Central America"
"319","1969","Chile",0,6,"-33.45","-70.666667","South America"
"320","1969","Czech Republic",0,4,"50.0833333333333","14.466667","Europe"
"321","1969","Finland",0,1,"60.1666666666667","24.933333","Europe"
"322","1969","France",0,31,"48.8666666666667","2.333333","Europe"
"323","1969","Germany",0,15,"52.5166666666667","13.4","Europe"
"324","1969","Greece",0,2,"37.9833333333333","23.733333","Europe"
"325","1969","Grenada",0,1,"12.05","-61.75","North America"
"326","1969","Hungary",0,1,"47.5","19.083333","Europe"
"327","1969","India",0,1,"28.6","77.2","Asia"
"328","1969","Indonesia",0,1,"-6.16666666666667","106.816667","Asia"
"329","1969","Ireland",0,5,"53.3166666666667","-6.233333","Europe"
"330","1969","Israel",0,1,"31.7666666666667","35.233333","Asia"
"331","1969","Italy",0,11,"41.9","12.483333","Europe"
"332","1969","Jamaica",0,6,"18","-76.8","North America"
"333","1969","Japan",0,2,"35.6833333333333","139.75","Asia"
"334","1969","Mexico",0,1,"19.4333333333333","-99.133333","Central America"
"335","1969","Monaco",0,1,"43.7333333333333","7.416667","Europe"
"336","1969","Netherlands",0,10,"52.35","4.916667","Europe"
"337","1969","Portugal",0,2,"38.7166666666667","-9.133333","Europe"
"338","1969","Russia",0,1,"55.75","37.6","Europe"
"339","1969","South Africa",0,1,"-25.7","28.216667","Africa"
"340","1969","Spain",0,8,"40.4","-3.683333","Europe"
"341","1969","Sweden",0,4,"59.3333333333333","18.05","Europe"
"342","1969","Turkey",0,4,"39.9333333333333","32.866667","Europe"
"343","1969","United Kingdom",8,141,"51.5","-0.083333","Europe"
"344","1969","United States",17,469,"38.883333","-77","Central America"
"345","1969","Unknown",3,65,"Unknown","Unknown","Unknown"
"346","1970","Argentina",0,11,"-34.5833333333333","-58.666667","South America"
"347","1970","Australia",0,2,"-35.2666666666667","149.133333","Australia"
"348","1970","Austria",0,4,"48.2","16.366667","Europe"
"349","1970","Brazil",1,34,"-15.7833333333333","-47.916667","South America"
"350","1970","Canada",1,19,"45.4166666666667","-75.7","Central America"
"351","1970","Chile",0,4,"-33.45","-70.666667","South America"
"352","1970","Czech Republic",0,2,"50.0833333333333","14.466667","Europe"
"353","1970","Finland",0,2,"60.1666666666667","24.933333","Europe"
"354","1970","France",0,35,"48.8666666666667","2.333333","Europe"
"355","1970","Germany",1,31,"52.5166666666667","13.4","Europe"
"356","1970","Greece",1,5,"37.9833333333333","23.733333","Europe"
"357","1970","Hungary",0,2,"47.5","19.083333","Europe"
"358","1970","Ireland",0,3,"53.3166666666667","-6.233333","Europe"
"359","1970","Israel",0,3,"31.7666666666667","35.233333","Asia"
"360","1970","Italy",0,23,"41.9","12.483333","Europe"
"361","1970","Jamaica",0,4,"18","-76.8","North America"
"362","1970","Japan",0,1,"35.6833333333333","139.75","Asia"
"363","1970","Mexico",0,2,"19.4333333333333","-99.133333","Central America"
"364","1970","Monaco",2,1,"43.7333333333333","7.416667","Europe"
"365","1970","Netherlands",0,15,"52.35","4.916667","Europe"
"366","1970","Panama",0,1,"8.96666666666667","-79.533333","Central America"
"367","1970","Poland",0,4,"52.25","21","Europe"
"368","1970","Portugal",0,2,"38.7166666666667","-9.133333","Europe"
"369","1970","Russia",0,1,"55.75","37.6","Europe"
"370","1970","Spain",0,7,"40.4","-3.683333","Europe"
"371","1970","Sweden",0,3,"59.3333333333333","18.05","Europe"
"372","1970","Switzerland",0,2,"46.9166666666667","7.466667","Europe"
"373","1970","The Bahamas",0,1,"25.0833333333333","-77.35","North America"
"374","1970","Turkey",0,1,"39.9333333333333","32.866667","Europe"
"375","1970","United Kingdom",10,202,"51.5","-0.083333","Europe"
"376","1970","United States",17,476,"38.883333","-77","Central America"
"377","1970","Unknown",2,56,"Unknown","Unknown","Unknown"
"378","1971","Argentina",0,9,"-34.5833333333333","-58.666667","South America"
"379","1971","Australia",0,5,"-35.2666666666667","149.133333","Australia"
"380","1971","Austria",0,9,"48.2","16.366667","Europe"
"381","1971","Belgium",0,1,"50.8333333333333","4.333333","Europe"
"382","1971","Brazil",0,25,"-15.7833333333333","-47.916667","South America"
"383","1971","Canada",0,32,"45.4166666666667","-75.7","Central America"
"384","1971","Chile",0,5,"-33.45","-70.666667","South America"
"385","1971","Colombia",0,1,"4.6","-74.083333","South America"
"386","1971","Czech Republic",0,1,"50.0833333333333","14.466667","Europe"
"387","1971","Denmark",0,3,"55.6666666666667","12.583333","Europe"
"388","1971","Finland",0,3,"60.1666666666667","24.933333","Europe"
"389","1971","France",0,31,"48.8666666666667","2.333333","Europe"
"390","1971","Germany",0,41,"52.5166666666667","13.4","Europe"
"391","1971","Greece",0,4,"37.9833333333333","23.733333","Europe"
"392","1971","Hungary",0,1,"47.5","19.083333","Europe"
"393","1971","India",0,1,"28.6","77.2","Asia"
"394","1971","Ireland",0,4,"53.3166666666667","-6.233333","Europe"
"395","1971","Israel",0,2,"31.7666666666667","35.233333","Asia"
"396","1971","Italy",0,39,"41.9","12.483333","Europe"
"397","1971","Jamaica",0,4,"18","-76.8","North America"
"398","1971","Japan",0,1,"35.6833333333333","139.75","Asia"
"399","1971","Malaysia",0,1,"3.16666666666667","101.7","Asia"
"400","1971","Mexico",0,4,"19.4333333333333","-99.133333","Central America"
"401","1971","Monaco",0,1,"43.7333333333333","7.416667","Europe"
"402","1971","Netherlands",0,11,"52.35","4.916667","Europe"
"403","1971","Norway",0,1,"59.9166666666667","10.75","Europe"
"404","1971","Poland",0,2,"52.25","21","Europe"
"405","1971","Portugal",0,2,"38.7166666666667","-9.133333","Europe"
"406","1971","Russia",0,1,"55.75","37.6","Europe"
"407","1971","Serbia",0,1,"44.8333333333333","20.5","Europe"
"408","1971","South Africa",0,1,"-25.7","28.216667","Africa"
"409","1971","Spain",0,7,"40.4","-3.683333","Europe"
